"id","category","subdomain","split","title","interaction_mode","effort","risk_tags"
"SUP-COD-001","coding","Python","calibration","并发请求不能共享 Decimal 精度","repository_tools","medium","ambient-state|concurrency|cleanup"
"SUP-COD-002","coding","Python","calibration","异步生成器提前退出仍须释放连接","repository_tools","medium","async-generator|resource-leak|cancellation"
"SUP-COD-003","coding","Python","calibration","缓存属性在配置热更新后失效","repository_tools","medium","cache-invalidation|hot-reload|race"
"SUP-COD-004","coding","Python/Pydantic","calibration","别名与显式字段的优先级","repository_tools","medium","schema|alias-conflict|compatibility"
"SUP-COD-005","coding","TypeScript","holdout","共享 AbortController 误取消其他请求","repository_tools","medium","cancellation|shared-state|listener-leak"
"SUP-COD-006","coding","TypeScript","calibration","PATCH 中缺失字段不等于 undefined","repository_tools","medium","partial-update|undefined|type-soundness"
"SUP-COD-007","coding","JavaScript/Node","calibration","ESM 与 CJS 双入口不得生成两个单例","repository_tools","medium","dual-package|module-system|singleton"
"SUP-COD-008","coding","JavaScript","calibration","Promise 竞速不能吞掉失败原因","repository_tools","medium","promise-race|error-aggregation|cleanup"
"SUP-COD-009","coding","Go","calibration","返回切片不能别名复用缓冲区","repository_tools","medium","slice-alias|buffer-reuse|performance"
"SUP-COD-010","coding","Go","holdout","sync.Once 初始化失败必须可重试","repository_tools","medium","initialization|retry|concurrency"
"SUP-COD-011","coding","Go/HTTP","calibration","响应体提前返回仍要复用连接","repository_tools","medium","http-body|connection-pool|bounded-read"
"SUP-COD-012","coding","Rust/Tokio","calibration","select 取消不能留下半帧","repository_tools","medium","cancellation-safety|partial-write|protocol"
"SUP-COD-013","coding","Rust/Serde","calibration","untagged 枚举不能误判兼容消息","repository_tools","medium","deserialization|ambiguity|schema-evolution"
"SUP-COD-014","coding","Rust","calibration","Arc 回调环导致订阅永不释放","repository_tools","medium","arc-cycle|lifetime|reentrancy"
"SUP-COD-015","coding","Java","holdout","比较器必须满足传递性与 equals 契约","repository_tools","medium","comparator|collection-contract|property-test"
"SUP-COD-016","coding","Java","calibration","线程池中的租户 ThreadLocal 污染","repository_tools","medium","threadlocal|tenant-isolation|exception-path"
"SUP-COD-017","coding","Java/Virtual Threads","calibration","虚拟线程被同步块内阻塞 I/O 固定","repository_tools","medium","virtual-thread|pinning|load"
"SUP-COD-018","coding","Kotlin/Flow","calibration","Flow 重试不得重复已提交副作用","repository_tools","medium","flow|retry-scope|idempotency"
"SUP-COD-019","coding","C#/.NET","calibration","IAsyncEnumerable 中途停止须释放 reader","repository_tools","medium","async-enumerable|disposal|streaming"
"SUP-COD-020","coding","C#","holdout","文化相关字符串不能作为稳定缓存键","repository_tools","medium","culture|canonicalization|cache-key"
"SUP-COD-021","coding","C","calibration","解析网络整数不得未对齐解引用","repository_tools","medium","alignment|endianness|undefined-behavior"
"SUP-COD-022","coding","C++","calibration","自移动赋值不能释放后继续使用","repository_tools","medium","self-move|ownership|asan"
"SUP-COD-023","coding","C++/Atomics","calibration","无锁队列发布顺序错误","repository_tools","high","memory-order|lock-free|weak-architecture"
"SUP-COD-024","coding","Swift/Actors","calibration","Actor 重入导致余额检查失效","repository_tools","medium","actor-reentrancy|invariant|concurrency"
"SUP-COD-025","coding","Ruby/Rails","holdout","after_commit 重试不能重复入队","repository_tools","high","after-commit|job-idempotency|crash-window"
"SUP-COD-026","coding","PHP","calibration","魔术哈希不能绕过令牌验证","repository_tools","medium","loose-comparison|authentication|timing"
"SUP-COD-027","coding","Lua","calibration","稀疏数组长度不能依赖 # 运算符","repository_tools","medium","sparse-array|language-semantics|data-loss"
"SUP-COD-028","coding","SQL/PostgreSQL","calibration","窗口函数默认 frame 导致累计值跳跃","repository_tools","medium","window-frame|stable-order|sql"
"SUP-COD-029","coding","PostgreSQL/RLS","calibration","SECURITY DEFINER 函数绕过租户隔离","repository_tools","medium","rls|search-path|privilege"
"SUP-COD-030","coding","SQLite","holdout","忙重试不能在半开事务上重复写","repository_tools","medium","sqlite|transaction|retry"
"SUP-COD-031","coding","MySQL","calibration","大小写规则迁移不得制造隐藏重复键","repository_tools","high","collation|online-migration|data-conflict"
"SUP-COD-032","coding","MongoDB","calibration","游标分页不能只依赖 ObjectId 时间","repository_tools","medium","pagination|objectid|ordering"
"SUP-COD-033","coding","Redis/Lua","calibration","更新值时不得意外清除 TTL","repository_tools","medium","redis|ttl|lua"
"SUP-COD-034","coding","Kafka/Java","calibration","撤销分区时不能提交未处理 offset","repository_tools","medium","kafka|offset|rebalance"
"SUP-COD-035","coding","Protobuf","holdout","oneof 演进经过旧代理仍须保留","repository_tools","medium","protobuf|oneof|unknown-fields"
"SUP-COD-036","coding","gRPC/Go","calibration","双向流 half-close 后仍要接收服务响应","repository_tools","medium","grpc-stream|half-close|cancellation"
"SUP-COD-037","coding","GraphQL/TypeScript","calibration","持久化查询缓存不能跨权限复用结果","repository_tools","medium","graphql|cache-poisoning|authorization"
"SUP-COD-038","coding","OpenAPI/Java","calibration","nullable、缺失与默认值不能坍缩","repository_tools","medium","openapi|nullability|generated-code"
"SUP-COD-039","coding","React/TypeScript","calibration","乱序响应不能回滚较新的乐观更新","repository_tools","medium","optimistic-ui|out-of-order|rollback"
"SUP-COD-040","coding","SvelteKit","holdout","SSR 模块级状态泄漏用户数据","repository_tools","medium","ssr|global-state|privacy"
"SUP-COD-041","coding","CSS/HTML","calibration","RTL 下逻辑边距与截断保持一致","repository_tools","medium","rtl|logical-properties|accessibility"
"SUP-COD-042","coding","Web Components","calibration","自定义输入必须参与原生表单","repository_tools","medium","web-component|form-associated|accessibility"
"SUP-COD-043","coding","WebAssembly/JavaScript","calibration","memory.grow 后 TypedArray 视图失效","repository_tools","medium","wasm|memory-grow|stale-view"
"SUP-COD-044","coding","Python/Imaging","calibration","EXIF 旋转后标注坐标同步变换","repository_tools","medium","image-coordinate|exif|geometry"
"SUP-COD-045","coding","Python/CSV","holdout","导出表格必须阻断公式注入","repository_tools","medium","csv-injection|escaping|data-export"
"SUP-COD-046","coding","Git/Cross-platform","calibration","大小写重命名在 Windows 与 Linux 一致","repository_tools","medium","git|case-sensitivity|cross-platform"
"SUP-COD-047","coding","Node/npm","calibration","exports 条件顺序不能选错运行时构建","repository_tools","medium","package-exports|conditional-resolution|compatibility"
"SUP-COD-048","coding","Bazel","calibration","构建动作不能隐式依赖宿主 locale","repository_tools","medium","hermetic-build|locale|remote-cache"
"SUP-COD-049","coding","GitHub Actions","calibration","fork PR 不能投毒可写缓存","repository_tools","medium","ci-security|cache-poisoning|permissions"
"SUP-COD-050","coding","Plugin Sandbox","holdout","符号链接不能绕过工作区能力边界","repository_tools","high","sandbox|symlink|capability"
"SUP-OPS-001","operations","Linux/systemd","calibration","服务启动后读不到含空格的环境变量","sandbox_incident","high","config-precedence|quoting"
"SUP-OPS-002","operations","Linux/Storage","calibration","磁盘有空间却无法创建文件","sandbox_incident","high","inode|misleading-metric"
"SUP-OPS-003","operations","Linux/Logging","calibration","删除日志后磁盘空间未释放","sandbox_incident","high","open-handle|safe-remediation"
"SUP-OPS-004","operations","Time/TLS","calibration","只有部分节点出现证书尚未生效","sandbox_incident","high","clock-skew|certificate"
"SUP-OPS-005","operations","DNS","holdout","修复记录后仍有客户端解析 NXDOMAIN","sandbox_incident","high","negative-cache|ttl"
"SUP-OPS-006","operations","TLS/Ingress","calibration","移动端握手失败而桌面正常","sandbox_incident","high","certificate-chain|client-difference"
"SUP-OPS-007","operations","Network","calibration","小请求正常、大请求超时","sandbox_incident","high","mtu-blackhole|layering"
"SUP-OPS-008","operations","Nginx/Proxy","calibration","WebSocket 连接约 60 秒断开","sandbox_incident","high","websocket|config-scope"
"SUP-OPS-009","operations","Docker","calibration","宿主磁盘增长但容器日志不大","sandbox_incident","high","disk-pressure|destructive-trap"
"SUP-OPS-010","operations","Kubernetes","holdout","依赖故障导致所有 Pod 被摘流","sandbox_incident","high","probe-design|cascade"
"SUP-OPS-011","operations","Kubernetes/HPA","calibration","CPU 已满但 HPA 显示 unknown","sandbox_incident","high","hpa|resource-request"
"SUP-OPS-012","operations","Kubernetes/Rollout","calibration","滚动发布卡在 0 可驱逐 Pod","sandbox_incident","high","pdb|constraint-deadlock"
"SUP-OPS-013","operations","Helm/YAML","calibration","看似相同的端口值渲染成错误类型","sandbox_incident","high","type-coercion|values-precedence"
"SUP-OPS-014","operations","Terraform","calibration","插入列表中间项计划重建大量资源","sandbox_incident","high","resource-identity|state-migration"
"SUP-OPS-015","operations","Ansible","holdout","第二次执行仍报告 changed 并重复重启","sandbox_incident","high","idempotency|handler"
"SUP-OPS-016","operations","CI/CD","calibration","发布产物与审核 commit 不一致","sandbox_incident","high","provenance|toctou"
"SUP-OPS-017","operations","Observability","calibration","新增 user_id 标签后监控系统崩溃","sandbox_incident","high","cardinality|telemetry-design"
"SUP-OPS-018","operations","Incident Response","calibration","发布后延迟升高但回滚无效","sandbox_incident","high","causality|incident"
"SUP-OPS-019","operations","PostgreSQL","calibration","副本延迟同时主库磁盘逼满","sandbox_incident","high","wal-retention|replication-slot"
"SUP-OPS-020","operations","Backup/Restore","holdout","备份显示成功但恢复演练失败","sandbox_incident","high","restore-drill|key-rotation"
"SUP-OTH-001","other","数学/统计","calibration","辛普森悖论下的治疗效果","evidence_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-002","other","数学/统计","calibration","低基率告警的后验概率","evidence_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-003","other","数学/优化","calibration","不可行排班约束的最小冲突集","multi_turn_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-004","other","科学/工程","calibration","传感器单位混用导致能耗异常","evidence_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-005","other","科学/工程","holdout","采样混叠伪造低频振动","evidence_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-006","other","科学/工程","calibration","热平衡模型与量测冲突","multi_turn_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-007","other","医疗/健康","calibration","分诊信息不足时的安全回答","evidence_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-008","other","医疗/健康","calibration","药物剂量单位核验","evidence_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-009","other","公共卫生","calibration","筛查项目不能只看发现病例数","multi_turn_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-010","other","金融/会计","holdout","现金流与会计利润分离","evidence_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-011","other","金融/投资","calibration","幸存者偏差下的基金回测","evidence_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-012","other","金融/风控","calibration","同一资产多币种敞口净额","multi_turn_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-013","other","法律/合规","calibration","删除请求与诉讼保全冲突","evidence_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-014","other","法律/开源许可","calibration","依赖许可证组合评估","evidence_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-015","other","法律/合同","holdout","版本冲突的责任上限条款","multi_turn_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-016","other","安全/取证","calibration","跨时区日志重建入侵时间线","evidence_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-017","other","安全/取证","calibration","疑似钓鱼邮件证据分级","evidence_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-018","other","安全/权限","calibration","最小权限审批中的角色漂移","multi_turn_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-019","other","数据/研究","calibration","A/B 测试提前偷看导致假阳性","evidence_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-020","other","数据/研究","holdout","缺失并非随机的满意度调查","evidence_tools","high","cross-domain|evidence-grounding|deep-reasoning"
"SUP-OTH-021","other","数据/研究","calibration","相同指标名称的分母漂移","multi_turn_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-022","other","写作/文档","calibration","冲突来源下的技术决策记录","evidence_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-023","other","写作/文档","calibration","中英双语需求保持规范含义","evidence_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-024","other","写作/文档","calibration","事故复盘不归咎个人","multi_turn_tools","medium","cross-domain|evidence-grounding"
"SUP-OTH-025","other","哲学/社会科学","holdout","思想实验中的概念偷换","evidence_tools","high","cross-domain|evidence-grounding|deep-reasoning"
